Rk,Player,Tm,s201617,s201718,s201819,s201920,s202021,s202122,Signed Using,Guaranteed
238,Trey Burke,WAS,$3386598,,,,,,1st Round Pick,$3386598
239,Mike Scott,ATL,$3333334,,,,,,,
240,K.J. McDaniels,HOU,$3333333,$3333334,,,,,Mid-level exception,$6666667
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
241,Troy Daniels,MEM,$3332940,$3408520,$3258540,,,,Cap Space,$10000000
242,Julius Randle,LAL,$3267120,$4149242,,,,,1st Round Pick,$3267120
243,Emmanuel Mudiay,DEN,$3241800,$3381480,$4294480,,,,1st round pick,$3241800
244,C.J. McCollum,POR,$3219579,$23962573,$25759766,$27556959,$29354152,,1st Round Pick,$109853029
245,Jamal Murray,DEN,$3210840,$3355320,$3499800,$4444746,,,1st Round pick,$6566160
246,Michael Carter-Williams,MIL,$3183526,,,,,,1st Round Pick,$3183526
247,Steven Adams,OKC,$3140517,,,,,,1st Round Pick,$3140517
248,Kelly Olynyk,BOS,$3094014,,,,,,1st Round Pick,$3094014
249,Shabazz Muhammad,MIN,$3046299,,,,,,1st Round Pick,$3046299
250,Tibor Pleiss,UTA,$3000000,$3000000,,,,,Cap Space,$3000000
251,Omri Casspi,SAC,$3000000,,,,,,Room Exception,$3000000
252,Dante Cunningham,NOP,$3000000,$3000000,,,,,MLE,$3000000
253,Justin Hamilton,BRK,$3000000,$3000000,,,,,Cap Space,$6000000
254,Giannis Antetokounmpo,MIL,$2995421,,,,,,1st Round Pick,$2995421
255,Nik Stauskas,PHI,$2993040,$3807146,,,,,1st Round Pick,$2993040
256,Stanley Johnson,DET,$2969880,$3097800,$3940402,,,,1st round pick,$2969880
257,Marquese Chriss,PHO,$2941440,$3073800,$3206160,$4078236,,,1st Rd pick,$6015240
258,Dewayne Dedmon,SAS,$2898000,$3028410,,,,,Room exception,$2898000
259,Mindaugas Kuzminskas,NYK,$2898000,$3028410,,,,,Room Exception,$5926410
260,Dion Waiters,MIA,$2898000,$3028410,,,,,Room exception,$2898000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
261,James Ennis,MEM,$2898000,$3028410,,,,,Room exception,$5926410
262,Nene Hilario,HOU,$2898000,,,,,,Room exception,$2898000
263,Zaza Pachulia,GSW,$2898000,,,,,,Room Exception,$2898000
264,Seth Curry,DAL,$2898000,$3028410,,,,,Room exception,$5926410
265,Tomas Satoransky,WAS,$2870813,$3000000,$3129187,,,,Cap Space,$9000000
266,Noah Vonleh,POR,$2751360,$3505233,,,,,1st Round Pick,$2751360
267,Frank Kaminsky,CHO,$2730000,$2847600,$3627842,,,,1st round pick,$2730000
268,Dennis Schroder,ATL,$2708582,,,,,,1st Round Pick,$2708582
269,Jakob Poeltl,TOR,$2703960,$2825640,$2947320,$3754886,,,1st Round pick,$5529600
270,Aaron Brooks,IND,$2700000,,,,,,Cap Space,$2700000
271,Elfrid Payton,ORL,$2613600,$3332340,,,,,1st Round Pick,$2613600
272,Justise Winslow,MIA,$2593440,$2705040,$3448926,,,,1st round pick,$2593440
273,Thon Maker,MIL,$2568600,$2684160,$2799720,$3569643,,,1st Round pick,$5252760
274,Richard Jefferson,CLE,$2500000,$2500000,$2612500,,,,Cap Space,$5000000
275,Randy Foye,BRK,$2500000,,,,,,Cap Space,$2500000
276,Malcolm Delaney,ATL,$2500000,$2500000,,,,,Room Exception,$5000000
277,Doug McDermott,CHI,$2483040,$3294994,,,,,1st Round Pick,$2483040
278,Myles Turner,IND,$2463840,$2569920,$3410284,,,,1st round pick,$2463840
279,Shelvin Mack,UTA,$2433334,,,,,,,
280,Tony Snell,CHI,$2368327,,,,,,1st Round Pick,$2368327
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
281,Gorgui Dieng,MIN,$2348783,,,,,,1st Round Pick,$2348783
282,Trey Lyles,UTA,$2340600,$2441400,$3364249,,,,1st round pick,$2340600
283,Mason Plumlee,POR,$2328530,,,,,,1st Round Pick,$2328530
284,Dario Saric,PHI,$2318280,$2422560,$2526840,$3481986,,,1st Round pick,$4740840
285,Taurean Waller-Prince,ATL,$2318280,$2422560,$2526840,$3481986,,,1st Round pick,$4740840
286,Tim Hardaway,ATL,$2281605,,,,,,1st Round Pick,$2281605
287,Reggie Bullock,DET,$2255644,,,,,,1st Round Pick,$2255644
288,Joe Ingles,UTA,$2250000,,,,,,Cap Space,$2250000
289,Zach LaVine,MIN,$2240880,$3202217,,,,,1st Round Pick,$2240880
290,Devin Booker,PHO,$2223600,$2319360,$3314365,,,,1st round pick,$2223600
291,Luc Mbah a Moute,LAC,$2203000,$2302135,,,,,Bi-annual Exception,$2203000
292,Georgios Papagiannis,SAC,$2202240,$2301360,$2400480,$3430288,,,1st Round pick,$4503600
293,Mo Williams,CLE,$2200000,,,,,,Mini MLE,$2200000
294,Andre Roberson,OKC,$2183072,,,,,,1st Round Pick,$2183072
295,Larry Sanders,MIL,$2170000,$2170000,$2170000,$2170000,$2170000,,,$13020000
296,T.J. Warren,PHO,$2128920,$3152931,,,,,1st Round Pick,$2128920
297,Rudy Gobert,UTA,$2121288,,,,,,1st Round Pick,$2121288
298,Cameron Payne,OKC,$2112480,$2203440,$3263295,,,,1st round pick,$2112480
299,Archie Goodwin,PHO,$2094089,,,,,,1st Round Pick,$2094089
300,Denzel Valentine,CHI,$2092200,$2186400,$2280600,$3377569,,,1st Round pick,$4278600
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
301,Tim Frazier,NOP,$2090000,$2000000,,,,,Room exception,$4090000
302,Kendall Marshall,PHI,$2048257,$1951743,$1855228,,,,,
303,Adreian Payne,MIN,$2022240,$3100094,,,,,1st Round Pick,$2022240
304,Kelly Oubre,WAS,$2006640,$2093040,$3208630,,,,1st round pick,$2006640
305,Vince Carter,MEM,$4264057,,,,,,,$2000000
306,Juan Hernangomez,DEN,$1987440,$2076840,$2166360,$3321030,,,1st Round pick,$4064280
307,Anderson Varejao,POR,$1984005,$1984005,$1984005,$1984005,$1984005,,,$9920025
308,Lucas Nogueira,TOR,$1921320,$2947305,,,,,1st Round Pick,$1921320
309,Jusuf Nurkic,DEN,$1921320,$2947305,,,,,1st Round Pick,$1921320
310,Terry Rozier,BOS,$1906440,$1988520,$3050390,,,,1st round pick,$1906440
311,Tim Duncan,SAS,$1881250,$1881250,$1881250,,,,,$5643750
312,James Young,BOS,$1825200,$2803507,,,,,1st Round Pick,$1825200
313,Rashad Vaughn,MIL,$1811040,$1889040,$2901565,,,,1st round pick,$1811040
314,Wade Baldwin,MEM,$1793760,$1874400,$1955160,$3003126,,,1st Round pick,$3668160
315,Tyler Ennis,MIL,$1733880,$2666707,,,,,1st Round Pick,$1733880
316,Sam Dekker,HOU,$1720560,$1794600,$2760095,,,,1st Round pick,$1720560
317,Joffrey Lauvergne,DEN,$1709720,$2136475,,,,,,
318,Henry Ellenson,DET,$1704120,$1780800,$1857480,$2856804,,,1st Round pick,$3484920
319,Gary Harris,DEN,$1655880,$2550055,,,,,1st Round Pick,$1655880
320,Jerian Grant,CHI,$1643040,$1713840,$2639314,,,,1st Round pick,$1643040
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
321,Malik Beasley,DEN,$1627320,$1700640,$1773840,$2731714,,,1st Round pick,$3327960
322,Bruno Caboclo,TOR,$1589640,$2451225,,,,,1st Round Pick,$1589640
323,Delon Wright,TOR,$1577280,$1645200,$2536898,,,,1st Round pick,$1577280
324,Caris LeVert,BRK,$1562280,$1632480,$1702800,$2625718,,,1st Round pick,$3194760
325,David Lee,SAS,$1551659,$1605967,,,,,Minimum Salary,$1551659
326,Brandon Bass,LAC,$1551659,,,,,,Minimum Salary,$1551659
327,Raymond Felton,LAC,$1551659,,,,,,Minimum Salary,$1551659
328,David West,GSW,$1551659,,,,,,Minimum Salary,$1551659
329,Anderson Varejao,GSW,$1551659,,,,,,Minimum Salary,$1551659
330,Chris Andersen,CLE,$1551659,,,,,,Minimum Salary,$1551659
331,James Jones,CLE,$1551659,,,,,,Minimum Salary,$1551659
332,Jarrett Jack,ATL,$1551659,,,,,,Minimum Salary,$1551659
333,Mitch McGary,OKC,$1526040,$2430981,,,,,1st Round Pick,$1526040
334,Justin Anderson,DAL,$1514160,$1579440,$2516048,,,,1st Round pick,$1514160
335,Marcelo Huertas,LAL,$1500000,$1567500,,,,,Cap Space,$1500000
336,DeAndre' Bembry,ATL,$1499760,$1567200,$1634640,$2603982,,,1st Round pick,$3066960
337,Jordan Adams,MEM,$1465080,$2410057,,,,,1st Round Pick,$1465080
338,Bobby Portis,CHI,$1453680,$1516320,$2494346,,,,1st Round pick,$1453680
339,Demetrius Jackson,BOS,$1450000,$1384750,$1319500,$1319500,,,Cap Space,$2100000
340,Malachi Richardson,SAC,$1439880,$1504560,$1569360,$2581597,,,1st Round pick,$2944440
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
341,Sasha Vujacic,NYK,$1410598,,,,,,Minimum Salary,$1410598
342,Gerald Green,BOS,$1410598,,,,,,Minimum Salary,$1410598
343,Rodney Hood,UTA,$1406520,$2386864,,,,,1st Round Pick,$1406520
344,Marreese Speights,LAC,$1403611,$1459969,,,,,Minimum Salary,$1403611
345,Michael Beasley,HOU,$1403611,,,,,,Minimum Salary,$1403611
346,Alonzo Gee,NOP,$1400000,,,,,,Cap Space,$1400000
347,Rondae Hollis-Jefferson,BRK,$1395600,$1455720,$2470357,,,,1st Round pick,$1395600
348,Willy Hernangomez,NYK,$1375000,$1435750,$1496500,$1557250,,,Cap Space,$4307250
349,Deyonta Davis,MEM,$1369229,$1307614,$1245999,,,,Cap Space,$3922842
350,Kevin Martin,MIN,$1360305,$1360305,$1360305,,,,,$4080915
351,Nikola Jokic,DEN,$1358500,$1417000,$1475500,,,,,$2775500
352,Shabazz Napier,POR,$1350120,$2361360,,,,,1st Round Pick,$1350120
353,Tyus Jones,MIN,$1339680,$1397400,$2444053,,,,1st Round pick,$1339680
354,Sasha Kaun,PHI,$1333420,,,,,,,$1333420
355,Timothe Luwawu-Cabarrot,PHI,$1326960,$1386600,$1446360,$2529684,,,1st Round pick,$2713560
356,Marcus Thornton,WAS,$1315448,,,,,,Minimum Salary,$1315448
357,Alan Anderson,LAC,$1315448,,,,,,Minimum Salary,$1315448
358,Clint Capela,HOU,$1296240,$2334520,,,,,1st Round Pick,$1296240
359,Jarell Martin,MEM,$1286160,$1341600,$2516222,,,,1st Round pick,$1286160
360,Brice Johnson,LAC,$1273920,$1331160,$1388520,$2500725,,,1st Round pick,$2605080
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
361,Jeremy Evans,IND,$1227286,,,,,,Early Bird Rights,$1227286
362,Luke Babbitt,MIA,$1227000,,,,,,Minimum Salary,$1227000
363,Jordan Mickey,BOS,$1223653,$1276346,$1329039,,,,,$1223653
364,C.J. Wilcox,ORL,$1209680,$2183328,,,,,1st Round Pick,$1209680
365,Larry Nance Jr.,LAL,$1207680,$1259640,$2272391,,,,1st Round pick,$1207680
366,R.J. Hunter,BOS,$1200240,$1251960,$2259788,,,,1st Round pick,$1200240
367,Pascal Siakam,TOR,$1196040,$1249920,$1303680,$2351839,,,1st Round pick,$2445960
368,Kyle Anderson,SAS,$1192080,$2151704,,,,,1st Round Pick,$1192080
369,Josh Huestis,OKC,$1191480,$1242840,$2243326,,,,,$1191480
370,Chris McCullough,BRK,$1191480,$1242840,$2243326,,,,1st Round pick,$1191480
371,Livio Jean-Charles,SAS,$1188840,$1242240,$1295760,$2338847,,,1st Rd pick,$2431080
372,Skal Labissiere,SAC,$1188840,$1242240,$1295760,$2338847,,,1st Round pick,$2431080
373,Kevon Looney,GSW,$1182840,$1233840,$2227081,,,,1st Round pick,$1182840
374,Dejounte Murray,SAS,$1180080,$1233240,$1286280,$2321735,,,1st Round pick,$2413320
375,Damian Jones,GSW,$1171560,$1224240,$1277040,$2305057,,,1st Round pick,$2395800
376,Isaiah Whitehead,BRK,$1074145,$1122248,$1170584,$1218920,,,Cap Space,$2196393
377,Joseph Young,IND,$1052342,$1097658,$1142974,,,,Cap Space,$1052342
378,Rakeem Christmas,IND,$1052342,$1097658,$1142974,,,,,$1102342
379,Chris Johnson,UTA,$1050961,,,,,,,
380,John Jenkins,PHO,$1050961,$1178992,,,,,,
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
381,Terrence Jones,NOP,$1050961,,,,,,Minimum Salary,$1050961
382,Pablo Prigioni,HOU,$1050961,$1178992,,,,,Minimum Salary,$1050961
383,Quincy Acy,DAL,$1050961,$1178992,,,,,Minimum Salary,$1050961
384,Brian Roberts,CHO,$1050961,,,,,,Minimum Salary,$1050961
385,Glenn Robinson,IND,$1050500,$1090500,,,,,Minimum Salary,$1050500
386,Ivica Zubac,LAL,$1034956,$1081529,$1128102,,,,Cap Space,$2116485
387,Richaun Holmes,PHI,$1025831,$1014746,$1088038,,,,Cap Space,$1025831
388,Jeff Withey,UTA,$1015696,,,,,,,
389,Hollis Thompson,PHI,$1015696,,,,,,Cap Space,$1015696
390,Robert Covington,PHI,$1015696,$1087745,,,,,,$1015696
391,Justin Holiday,NYK,$1015696,,,,,,Minimum Salary,$1015696
392,Willie Reed,MIA,$1015696,$1087745,,,,,Cap Space,$1015696
393,Ian Clark,GSW,$1015696,,,,,,Minimum Salary,$1015696
394,Ray McCallum,DET,$1015696,,,,,,,
395,Lorenzo Brown,DET,$1015696,,,,,,,
396,DeAndre Liggins,CLE,$1015696,$1087745,,,,,Minimum Salary,$25000
397,Isaiah Canaan,CHI,$1015696,$1087745,,,,,Minimum Salary,$1215696
398,Anthony Bennett,BRK,$1015696,$1087745,,,,,Cap Space,$1015696
399,Mike Muscala,ATL,$1015696,,,,,,Minimum Salary,$1015696
400,Montrezl Harrell,HOU,$1000000,$1100000,,,,,,$2100000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
401,Walter Tavares,ATL,$1000000,$1000000,,,,,,$1000000
402,Jarell Eddie,WAS,$980431,,,,,,,
403,Jerami Grant,PHI,$980431,$1051245,,,,,,
404,JaMychal Green,MEM,$980431,,,,,,Minimum Salary,$200000
405,James Michael McAdoo,GSW,$980431,,,,,,Minimum Salary,$980431
406,Nick Johnson,DEN,$980431,,,,,,,$980431
407,JaKarr Sampson,DEN,$980431,,,,,,,
408,Spencer Dinwiddie,CHI,$980431,$1051245,,,,,,
409,Sean Kilpatrick,BRK,$980431,$1051245,,,,,Minimum Salary,$980431
410,Joe Harris,BRK,$980431,$1051245,,,,,Minimum Salary,$980431
411,Stephen Zimmerman,ORL,$950000,$992750,$1050262,,,,Cap Space,$950000
412,Jason Thompson,GSW,$945126,$945126,$945126,,,,,$2835378
413,Andrew Harrison,MEM,$945000,$987525,$1050262,,,,Cap Space,$1045000
414,Raul Neto,UTA,$937800,$1014746,,,,,,$937800
415,Malcolm Brogdon,MIL,$925000,$955249,$1050262,,,,Cap Space,$1880249
416,Wayne Ellington,SAC,$923670,,,,,,,$6923780
417,Tyler Ulis,PHO,$918369,$905249,$1050262,$1126120,,,Cap Space,$1823618
418,Norman Powell,TOR,$874636,$1014746,,,,,Cap Space,$874636
419,Jonathon Simmons,SAS,$874636,,,,,,Minimum Salary,$874636
420,Lamar Patterson,SAC,$874636,,,,,,,
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
421,Luis Montero,POR,$874636,$1014746,,,,,,$874636
422,Pat Connaughton,POR,$874636,$1014746,,,,,,$874636
423,Alan Williams,PHO,$874636,,,,,,,
424,T.J. McConnell,PHI,$874636,,,,,,,
425,Josh Richardson,MIA,$874636,$1014746,,,,,Minimum Salary,$874636
426,Briante Weber,MIA,$874636,$1014746,,,,,Minimum Salary,$220000
427,D.J. Stephens,MEM,$874636,$1014746,,,,,Minimum Salary,$35000
428,Anthony Brown,LAL,$874636,$1014746,,,,,Cap Space,$874636
429,Axel Toupane,DEN,$874636,,,,,,,
430,Salah Mejri,DAL,$874636,$1014746,,,,,,
431,Jordan McRae,CLE,$874636,,,,,,Minimum Salary,$874636
432,Christian Wood,CHO,$874636,$1014746,,,,,Cap Space,$874636
433,Aaron Harrison,CHO,$874636,,,,,,,
434,Cristiano Felicio,CHI,$874636,,,,,,,
435,John Holland,BOS,$874636,,,,,,,
436,Darrun Hilliard,DET,$874060,$1014750,,,,,Cap space,$874060
437,Martell Webster,WAS,$830000,$830000,$830000,,,,,$2490000
438,Michael Beasley,PHO,$777777,,,,,,,$777777
439,Paul Zipser,CHI,$750000,$905249,$1050262,$1126120,,,Cap Space,$1655249
440,Carlos Delfino,LAC,$650000,$650000,$650000,,,,,$1950000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
441,Georges Niang,IND,$650000,$905249,$1050262,,,,Cap Space,$750000
442,Michael Gbinije,DET,$650000,$905240,$1050262,,,,Cap Space,$1150000
443,A.J. Hammons,DAL,$650000,$905249,$1050262,,,,Cap Space,$2605511
444,Jake Layman,POR,$600000,$905249,$1050262,,,,Cap Space,$1505249
445,Danuel House,WAS,$543471,$905249,,,,,Minimum Salary,$100000
446,Sheldon McClellan,WAS,$543471,$905249,,,,,Minimum Salary,$50000
447,Daniel Ochefu,WAS,$543471,$905249,$1050262,,,,Cap Space,$50000
448,Jarrod Uthoff,TOR,$543471,$905249,,,,,Minimum Salary,$50000
449,Fred VanVleet,TOR,$543471,$905249,,,,,Minimum Salary,$50000
450,Patricio Garino,SAS,$543471,$905249,,,,,Minimum Salary,$100000
451,Davis Bertans,SAS,$543471,$905249,,,,,Minimum Salary,$1448720
452,Ryan Arcidiacono,SAS,$543471,$905249,,,,,Minimum Salary,$75000
453,Bryn Forbes,SAS,$543471,$905249,,,,,Minimum Salary,$125000
454,Tim Quarterman,POR,$543471,$905249,,,,,Minimum Salary,$75000
455,Brandon Paul,PHI,$543471,$905249,,,,,Minimum Salary,$155000
456,James Webb,PHI,$543471,$905249,,,,,,
457,Shawn Long,PHI,$543471,$905249,,,,,Minimum Salary,$65000
458,Chasson Randle,NYK,$543471,,,,,,Minimum Salary,$100000
459,J.P. Tokoto,NYK,$543471,,,,,,Minimum Salary,$100000
460,Ron Baker,NYK,$543471,,,,,,Minimum Salary,$75000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
461,Marshall Plumlee,NYK,$543471,$905249,$1050262,,,,Minimum Salary,$643471
462,Maurice Ndour,NYK,$543471,$905249,,,,,Minimum Salary,$543471
463,Cheick Diallo,NOP,$543471,$905249,$1050262,,,,Minimum Salary,$1948720
464,Rodney McGruder,MIA,$543471,$905249,$1050262,,,,Minimum Salary,$150000
465,Stefan Jankovic,MIA,$543471,$905249,,,,,Minimum Salary,$100000
466,Okaro White,MIA,$543471,$905249,,,,,Minimum Salary,$100000
467,Troy Williams,MEM,$543471,$905249,,,,,Minimum Salary,$150000
468,Wayne Selden,MEM,$543471,,,,,,,
469,Diamond Stone,LAC,$543471,$905249,,,,,Minimum Salary,$1448720
470,Chinanu Onuaku,HOU,$543471,$905249,$1050262,,,,Minimum Salary,$2498982
471,Patrick McCaw,GSW,$543471,$905249,,,,,Minimum Salary,$1448720
472,Dorian Finney-Smith,DAL,$543471,$905249,$1050262,,,,Minimum Salary,$100000
473,Nicolas Brussino,DAL,$543471,$905249,$1050262,,,,Minimum Salary,$100000
474,Jonathan Gibson,DAL,$543471,$905249,$1050262,,,,Minimum Salary,$543471
475,Keith Hornsby,DAL,$543471,,,,,,,
476,Kyle Collinsworth,DAL,$543471,$905249,,,,,Minimum Salary,$70000
477,Jameel Warney,DAL,$543471,,,,,,Minimum Salary,$20000
478,Kay Felder,CLE,$543471,$905249,$1050262,,,,Minimum Salary,$1000000
479,Treveon Graham,CHO,$543471,$905249,,,,,Minimum Salary,$75000
480,Mike Tobey,CHO,$543471,$905249,,,,,Minimum Salary,$75000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
481,Egidijus Mockevicius,BRK,$543471,,,,,,Minimum Salary,$100000
482,Beau Beech,BRK,$543471,,,,,,Minimum Salary,$45000
483,Yogi Ferrell,BRK,$543471,,,,,,Minimum Salary,$100000
484,Ben Bentil,BOS,$543471,$905249,$1050262,,,,Minimum Salary,$250000
485,Matt Costello,ATL,$543471,$905249,,,,,Minimum Salary,$50000
486,Caron Butler,SAC,$517220,$517220,$517220,,,,,$1551660
487,Jordan Farmar,LAC,$510921,$510921,,,,,,$1021842
488,Jarrett Jack,BRK,$500000,,,,,,,$500000
489,Aaron Gray,DET,$452059,$452059,,,,,,$904118
490,Maurice Ndour,DAL,$437318,,,,,,,$980789
491,Andrea Bargnani,BRK,$323599,,,,,,,$323599
492,Gal Mekel,DAL,$315760,$315760,,,,,,$631520
493,Miroslav Raduljica,LAC,$300000,$300000,$300000,,,,,$900000
494,Elliot Williams,GSW,,,,,,,,
